INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Arne', 'Östlund', '8202@example.com', '+46756267706');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Hans', 'Rydvall', '2435@example.com', '+46738862821');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Emanuel', 'Lundin', '9513@example.com', '+46748886283');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Helena', 'Helin', '1275@example.com', '+46783293889');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ove', 'Spahandelin', '2782@example.com', '+46729890074');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('William', 'Sjöblom', '5773@example.com', '+46718265676');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Lisa', 'Bergström', '2328@example.com', '+46727089518');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Einar', 'Erlandsson', '9485@example.com', '+46756000744');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Sara', 'Andreasson', '9364@example.com', '+46756439632');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ann', 'Nilsson', '5739@example.com', '+46735712240');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Knut', 'Kjellberg', '6037@example.com', '+46707992922');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Eva', 'Lundström', '4435@example.com', '+46714972384');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Karin', 'Alfvén', '7187@example.com', '+46738701662');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Alexander', 'Söderström', '6166@example.com', '+46771199533');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Michael', 'Bergqvist', '1639@example.com', '+46753496297');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Alf', 'Lind', '4275@example.com', '+46792453352');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Magnus', 'Bengtsson', '6980@example.com', '+46776356055');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Christian', 'Forsman', '3375@example.com', '+46745159664');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Linnea', 'Skog', '6748@example.com', '+46718878625');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Sebastian', 'Lind', '4852@example.com', '+46731269721');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Lena', 'Sellström', '8467@example.com', '+46765937272');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Signe', 'Björklund', '7220@example.com', '+46743568251');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Evert', 'Hansson', '5180@example.com', '+46718864853');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ester', 'Hedenskog', '7874@example.com', '+46750669662');
