INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Carl', 'Renström', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Elsa', 'Quist', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('John', 'Gustafsson', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Kent', 'Skoglund', 'Manager');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Emil', 'Pehrson', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Linnéa', 'Spahandelin', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Ulf', 'Wickman', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Ingegerd', 'Ekström', 'Manager');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Gunvor', 'Ljungberg', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Mats', 'Snellman', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Björn', 'Hedlund', 'Manager');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Gunvor', 'Åkerlund', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Evert', 'Haverling', 'Manager');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Karolina', 'Åkesson', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Gunvor', 'Ahlman', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Linda', 'Rydstedt', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Gun', 'Person', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Linnéa', 'Dahlberg', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Evert', 'Lundström', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Bertil', 'Matsson', 'Manager');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Axel', 'Pehrsson', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Tobias', 'Hulth', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Gösta', 'Åkerström', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Camilla', 'Wiktorin', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Eric', 'Rydqvist', 'Manager');
