INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Carl', 'Hyltenstam', '9255@example.com', '+46787104280');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Johanna', 'Mattsson', '2216@example.com', '+46727047474');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Katarina', 'Nåjde', '7165@example.com', '+46731245182');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ernst', 'Glad', '5536@example.com', '+46701160386');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Irene', 'Ek', '5306@example.com', '+46750125225');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Peter', 'Pettersson', '3358@example.com', '+46771051294');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Svea', 'Dahl', '8563@example.com', '+46764559404');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Karolina', 'Hedlund', '9045@example.com', '+46745850069');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Sven', 'Cronström', '1135@example.com', '+46742094003');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Sebastian', 'Malmström', '7320@example.com', '+46745790013');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Marie', 'Linné', '4909@example.com', '+46757190231');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Håkan', 'Åkerblom', '9800@example.com', '+46765750836');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Svea', 'Cronström', '4000@example.com', '+46704348881');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('William', 'Eriksson', '9006@example.com', '+46712563178');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Martin', 'Pehrsson', '1029@example.com', '+46712794222');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Julia', 'Westman', '4176@example.com', '+46777658650');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Bengt', 'Arvidsson', '6610@example.com', '+46735753955');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Robert', 'Ström', '5586@example.com', '+46754934810');
