INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Gösta', 'Svanstedt', '5497@example.com', '+46768924588');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Carina', 'Södergren', '3069@example.com', '+46702552729');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Astrid', 'Helander', '3498@example.com', '+46774229116');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ingemar', 'Helenius', '6702@example.com', '+46725330274');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Christina', 'Blomstrand', '7943@example.com', '+46710289372');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Anna', 'Kristersson', '2698@example.com', '+46763902215');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Inga', 'Lindelöf', '2683@example.com', '+46775333676');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Bertil', 'Bäckström', '1430@example.com', '+46705586320');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Amanda', 'Åberg', '6712@example.com', '+46743370139');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Gustav', 'Lind', '2588@example.com', '+46712315698');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Hanna', 'Wickman', '8571@example.com', '+46748290757');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Marcus', 'Rydstedt', '7593@example.com', '+46733027555');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Elisabet', 'Fjäll', '5076@example.com', '+46731723670');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ingeborg', 'Johnsson', '4791@example.com', '+46774607347');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Barbro', 'Ringberg', '4691@example.com', '+46751452903');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Valdemar', 'Rosberg', '9801@example.com', '+46756792895');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Mattias', 'Lindén', '2589@example.com', '+46711161628');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Marcus', 'Eliasson', '8141@example.com', '+46784008216');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Gunvor', 'Nordin', '9797@example.com', '+46767331005');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Torsten', 'Forsberg', '5759@example.com', '+46759219463');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ann', 'Nordström', '2059@example.com', '+46776918734');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Stefan', 'Mattsson', '7326@example.com', '+46748234805');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Lars', 'Ågren', '6860@example.com', '+46782397730');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Harald', 'Björkman', '3633@example.com', '+46732599270');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Kent', 'Malmström', '6119@example.com', '+46769451964');
