INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Niklas', 'Pehrson', '4077@example.com', '+46734481275');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Oskar', 'Wallin', '6229@example.com', '+46736201485');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Viola', 'Åkerman', '3365@example.com', '+46702964330');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Lisa', 'Renström', '6940@example.com', '+46767953518');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Gösta', 'Olsson', '9394@example.com', '+46782550046');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Jenny', 'Bergström', '5040@example.com', '+46770815513');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ernst', 'Samuelsson', '6959@example.com', '+46734395932');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Marcus', 'Pehrsson', '2500@example.com', '+46764649423');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Henrik', 'Tvilling', '6784@example.com', '+46769843253');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ingeborg', 'Rangström', '4742@example.com', '+46754365547');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Margit', 'Rydström', '1717@example.com', '+46727624946');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Viola', 'Johansson', '9590@example.com', '+46767890214');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Kerstin', 'Björkman', '2391@example.com', '+46779628973');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Magnus', 'Palm', '2424@example.com', '+46758842652');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Kerstin', 'Matsson', '9608@example.com', '+46710962061');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Valdemar', 'Malmquist', '6996@example.com', '+46765662207');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Georg', 'Stare', '4261@example.com', '+46760307928');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Eva', 'Hermansson', '2544@example.com', '+46788961251');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Karl', 'Nobelius', '5639@example.com', '+46739971063');
