INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Irene', 'Södergren', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Margit', 'Strand', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Elin', 'Strand', 'Manager');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Olof', 'Fransson', 'Manager');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Henrik', 'Andersson', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Robert', 'Ask', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Roger', 'Skoglund', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Inger', 'Eklund', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Anders', 'Ringberg', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Edit', 'Söder', 'Manager');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Per', 'Månsson', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Alice', 'Lindqvist', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Johanna', 'Rudolfsson', 'Manager');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Olov', 'Nyman', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Carl', 'Backman', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Mats', 'Ask', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Sara', 'Torvalds', 'Manager');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Eric', 'Holmquist', 'Manager');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Sara', 'Strömberg', 'Manager');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Anita', 'Nilsson', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Åke', 'Lagerkvist', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Tomas', 'Parkstad', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Henry', 'Karlsson', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Elin', 'Matsson', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Barbro', 'Blomqvist', 'Cleaner');
