INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Stefan', 'Henriksson', 'Manager');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Knut', 'Norberg', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Eva', 'Helander', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Ove', 'Stare', 'Manager');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Lisa', 'Jäderberg', 'Manager');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Vilhelm', 'Nyman', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Axel', 'Rydkvist', 'Manager');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Ivar', 'Berg', 'Manager');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Gun', 'Granestrand', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Tomas', 'Tungelfelt', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Maria', 'Grönholm', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('John', 'Hansson', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Viola', 'Palme', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Gunvor', 'Jonasson', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Vilhelm', 'Lundgren', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Sebastian', 'Hulth', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Rut', 'Persson', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Carl', 'Mankell', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Lisa', 'Palmquist', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Eva', 'Cronström', 'Manager');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Carl', 'Åberg', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Bertil', 'Kindstrand', 'Manager');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Mattias', 'Bååth', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Lars', 'Skoglund', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Tommy', 'Glad', 'Cleaner');
