INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Martin', 'Jansson', '2240@example.com', '+46744972152');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Gösta', 'Forsman', '1614@example.com', '+46757514952');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Gun', 'Rosenqvist', '6285@example.com', '+46785468459');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Julia', 'Ljungberg', '8094@example.com', '+46786973499');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('John', 'Lindgren', '7118@example.com', '+46798952834');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Marcus', 'Englund', '4205@example.com', '+46758004137');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Susanne', 'Nåjde', '1824@example.com', '+46788406912');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('William', 'Sjöblom', '5943@example.com', '+46764154927');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Bo', 'Lundström', '4806@example.com', '+46719115678');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Signe', 'Bernadotte', '5984@example.com', '+46740706662');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Inger', 'Rudbeck', '2733@example.com', '+46768166864');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Cecilia', 'Haverling', '3978@example.com', '+46712431662');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Eva', 'Ekberg', '6658@example.com', '+46774709487');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Caroline', 'Rydbäck', '5703@example.com', '+46721329581');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Märta', 'Axelsson', '1436@example.com', '+46712663070');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Lisa', 'Norberg', '4080@example.com', '+46768214634');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Lars', 'Rydkvist', '7361@example.com', '+46746955022');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Kerstin', 'Jakobsson', '2316@example.com', '+46749891023');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Kjell', 'Jonasson', '2092@example.com', '+46732028483');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ester', 'Cronström', '1024@example.com', '+46706993515');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Harry', 'Wickman', '3250@example.com', '+46731372896');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Rolf', 'Grafström', '1043@example.com', '+46780754714');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Julia', 'Åslund', '4794@example.com', '+46713183567');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Sten', 'Sievert', '5714@example.com', '+46713553104');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Mattias', 'Ros', '5800@example.com', '+46772084996');
