INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Ernst', 'Norén', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Viktoria', 'Ericsson', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Peter', 'Erlandsson', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Hanna', 'Sundström', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Tobias', 'Wallin', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Stefan', 'Jakobsson', 'Manager');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Sonja', 'Helenius', 'Manager');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Bror', 'Nyman', 'Manager');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Eric', 'Hård', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Linda', 'Rudbeck', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Axel', 'Rydvall', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Evert', 'Wickman', 'Receptionist');
