INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Kent', 'Helin', '2186@example.com', '+46782713578');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Gösta', 'Lindqvist', '4942@example.com', '+46793026763');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Leif', 'Cederström', '3402@example.com', '+46794249664');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Elin', 'Bergström', '8325@example.com', '+46797639421');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Anita', 'Ivarsson', '9782@example.com', '+46741720388');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Kurt', 'Berzelius', '6819@example.com', '+46706731962');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Niklas', 'Gustavsson', '6599@example.com', '+46726981231');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Viktoria', 'Österman', '2059@example.com', '+46762372511');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Matilda', 'Hyltenstam', '4049@example.com', '+46771377076');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Marcus', 'Snellman', '9135@example.com', '+46728300051');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Johanna', 'Kristersson', '3369@example.com', '+46726360264');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Bertil', 'Sjögren', '3289@example.com', '+46754584639');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Sten', 'Ekberg', '6324@example.com', '+46724635341');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Axel', 'Quisth', '2460@example.com', '+46702066275');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Evert', 'André', '9315@example.com', '+46715889525');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Mats', 'Rydqvist', '6849@example.com', '+46701266074');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Anette', 'Glad', '5866@example.com', '+46776652052');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Erik', 'Rosberg', '4670@example.com', '+46702200428');
