INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Rolf', 'Fransson', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('John', 'Johnsson', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Hanna', 'Eklund', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Mattias', 'Strand', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Signe', 'Nåjde', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Christian', 'Börjeson', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Roger', 'Rosengren', 'Manager');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Ida', 'Gustafsson', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Alice', 'Hård', 'Manager');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Jonas', 'Sundqvist', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Eva', 'Quisth', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Thomas', 'Östberg', 'Receptionist');
