INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Johan', 'Spångberg', '8682@example.com', '+46775822365');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Julia', 'Nordquist', '6187@example.com', '+46717392728');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Carina', 'Abrahamsson', '7864@example.com', '+46708275291');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Viktoria', 'Ljungqvist', '4135@example.com', '+46707272110');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Charlotta', 'Larsdotter', '2674@example.com', '+46770324156');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Göran', 'Birgersson', '3182@example.com', '+46702620620');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Kerstin', 'Matsson', '9045@example.com', '+46744692280');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Linnea', 'Tunberg', '4737@example.com', '+46713007316');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Folke', 'Forsman', '5783@example.com', '+46727872956');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Hanna', 'Olofsson', '2155@example.com', '+46773778938');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Linnea', 'Ekström', '4262@example.com', '+46731214204');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ida', 'Cronström', '6051@example.com', '+46728826844');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ulrika', 'Sandström', '3271@example.com', '+46784371375');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Stig', 'Jansson', '8193@example.com', '+46765423495');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ingemar', 'Berzelius', '6418@example.com', '+46782512047');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ingeborg', 'Kristersson', '7965@example.com', '+46778930552');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Bengt', 'Tungelfelt', '2161@example.com', '+46764394892');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Anders', 'Högberg', '3913@example.com', '+46787415430');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Signe', 'Samuelsson', '6515@example.com', '+46779063615');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Henrik', 'Wallin', '6474@example.com', '+46753303175');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Arne', 'Malin', '8018@example.com', '+46784981406');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Einar', 'Mattsson', '2940@example.com', '+46754114451');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Magnus', 'Ekerlid', '5375@example.com', '+46733490946');
