INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Viktoria', 'Linné', '7595@example.com', '+46754886682');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Henrik', 'Lindroos', '5150@example.com', '+46719402416');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Håkan', 'Sandström', '7797@example.com', '+46746929720');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Valdemar', 'Samuelsson', '2342@example.com', '+46719081578');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Eric', 'Jäderberg', '7148@example.com', '+46797371697');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Karl', 'Ström', '2205@example.com', '+46764626812');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Monica', 'Forsberg', '9637@example.com', '+46796521233');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Elsa', 'Helin', '8601@example.com', '+46787120045');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Vilhelm', 'Birgersson', '2748@example.com', '+46708963832');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ingemar', 'Wahlroos', '7573@example.com', '+46732507602');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Hanna', 'Råberg', '6413@example.com', '+46743843553');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Mats', 'Kjellberg', '9944@example.com', '+46743362323');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Gunnar', 'Ribbing', '1269@example.com', '+46781630846');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Kerstin', 'Nordquist', '9349@example.com', '+46704831010');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Jenny', 'Åkerblom', '4154@example.com', '+46743131061');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Harald', 'Rydvall', '9050@example.com', '+46797941832');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ester', 'Sandell', '1458@example.com', '+46758394283');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ivar', 'Olsson', '2372@example.com', '+46725122101');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Kjell', 'Lundgren', '5226@example.com', '+46709548930');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Oskar', 'Hermansson', '3006@example.com', '+46721382701');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Elisabet', 'Westerlund', '2252@example.com', '+46741762026');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('William', 'Hård', '6082@example.com', '+46740880177');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Lennart', 'Grafström', '3857@example.com', '+46790187106');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Bo', 'Lindfors', '6103@example.com', '+46700625278');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Svea', 'Sjöquist', '6363@example.com', '+46731685116');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Daniel', 'Hellström', '8491@example.com', '+46741017667');
