INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Fredrik', 'Cronström', 'Manager');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Yvonne', 'Ivarsson', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Hanna', 'Ribbing', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Carl', 'Engberg', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Alice', 'Blomqvist', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Kent', 'Sandberg', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Lennart', 'Forsberg', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Inga', 'Quist', 'Manager');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Arvid', 'Birgersson', 'Manager');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Astrid', 'Davidsson', 'Receptionist');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Hans', 'Ivarsson', 'Cleaner');
INSERT INTO personal (fornamn, efternamn, roll) VALUES ('Lars', 'Nordin', 'Cleaner');
