INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Tobias', 'Markström', '9851@example.com', '+46731237175');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Rune', 'Danielsson', '5763@example.com', '+46731346266');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Henrik', 'Karlsson', '2939@example.com', '+46780120610');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ragnar', 'Spjuth', '6692@example.com', '+46724829663');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Fredrik', 'Borg', '6973@example.com', '+46782379727');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Georg', 'Wahlroos', '2552@example.com', '+46706588031');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Robert', 'Englund', '5373@example.com', '+46790176212');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Kent', 'Hellström', '4911@example.com', '+46716274936');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Georg', 'Quist', '6493@example.com', '+46752502517');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Inga', 'Sellström', '6203@example.com', '+46737965365');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Inga', 'Ericsson', '4889@example.com', '+46710986015');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Edit', 'Sundkvist', '3578@example.com', '+46794976759');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Julia', 'Österberg', '8426@example.com', '+46743690632');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ulla', 'Bengtsson', '6441@example.com', '+46791209528');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Arvid', 'Lindfors', '8544@example.com', '+46742049213');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Karolina', 'Hermansson', '4810@example.com', '+46788632262');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Sofia', 'Sandell', '2691@example.com', '+46742375811');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Maria', 'Rydkvist', '2178@example.com', '+46727358609');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Torsten', 'Lindström', '9575@example.com', '+46751914799');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Axel', 'Thunberg', '2756@example.com', '+46753503302');
INSERT INTO kund (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Martin', 'Rosberg', '3698@example.com', '+46731565277');
