INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Elisabeth', 'Frisk', '7347@example.com', '+46775555632');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Folke', 'Åkerström', '6325@example.com', '+46799905405');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Niklas', 'Säfström', '4205@example.com', '+46730226760');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Barbro', 'Åberg', '8052@example.com', '+46721937805');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Cecilia', 'Åkerlund', '9658@example.com', '+46709166853');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Folke', 'Pettersson', '8641@example.com', '+46736108719');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ingvar', 'Rosenqvist', '1629@example.com', '+46731723066');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Gunilla', 'Malin', '6496@example.com', '+46767349008');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Helena', 'Bengtsson', '3857@example.com', '+46705037479');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Folke', 'Engström', '1633@example.com', '+46728210499');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Matilda', 'Schyman', '2104@example.com', '+46797447897');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Sofia', 'Lundberg', '5073@example.com', '+46786752681');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Johan', 'Tvilling', '4255@example.com', '+46769806023');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Susanne', 'Tungelfelt', '7763@example.com', '+46790446873');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Erik', 'Alexandersson', '8566@example.com', '+46771211955');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('John', 'Westerberg', '1076@example.com', '+46723950028');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Ingeborg', 'Mårtensson', '7336@example.com', '+46784082427');
