INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Elin', 'Arvidsson', '6772@example.com', '+46713014421');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Sonja', 'Ekholm', '1921@example.com', '+46760356335');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Birgitta', 'Pehrsson', '5221@example.com', '+46708097752');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Bengt', 'Cederström', '3592@example.com', '+46783312677');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Karolina', 'Mårtensson', '1658@example.com', '+46799865959');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('David', 'Bengtsson', '4843@example.com', '+46786007091');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Gunnar', 'Bergqvist', '2489@example.com', '+46703849473');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Hanna', 'Hammarskjöld', '1283@example.com', '+46731647618');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Irene', 'Torvalds', '3819@example.com', '+46784890104');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Lennart', 'Johnson', '5785@example.com', '+46715058931');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Marcus', 'Bäckström', '5140@example.com', '+46787773014');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Cecilia', 'Alfvén', '6868@example.com', '+46700960007');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Bertil', 'Hammare', '6229@example.com', '+46796204432');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Susanne', 'Skarsgård', '9842@example.com', '+46706577275');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Svea', 'Qvisth', '6418@example.com', '+46707700712');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Louise', 'Håkansson', '2291@example.com', '+46710464144');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Emma', 'Linnaeus', '8466@example.com', '+46799599545');
INSERT INTO huvud_gast (fornamn, efternamn, mejl_address, telefon_nummer) VALUES ('Rune', 'Ros', '5596@example.com', '+46757470133');
